Sr.No.,College Name,CourseName,NT-B
1,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,91.4761117
2,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),85.7225489
3,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),85.0880607
4,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,82.41
5,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,71.6451268
6,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,70.9263207
7,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,51.67
8,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,45.2718114
9,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,0.00
10,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,0.00
