Sr.No.,College Name,CourseName,OBC
1,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,92.20
2,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),87.42
3,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),87.42
4,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,81.51
5,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,81.41
6,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,64.89
7,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,63.55
8,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,32.21
9,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,14.99
10,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,5.56
