Sr.No.,College Name,CourseName,Open
1,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,93.74
2,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),91.26
3,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),90.53
4,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,87.42
5,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,84.87
6,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,75.48
7,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,65.27
8,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,58.81
9,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,54.91
10,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,10.57
