Sr.No.,College Name,CourseName,SC
1,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,85.9566804
2,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),82.8743796
3,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),79.2815054
4,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,72.9031949
5,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,69.3404295
6,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,66.2395008
7,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,57.21
8,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,35.1475881
9,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,21.51
10,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,3.35
