Sr.No.,College Name,CourseName,ST
1,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,13.54
2,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),0
3,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),0
4,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,0
5,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,0
6,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,0
7,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,0
8,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,0
9,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,0
10,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,0
